timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623422767235170795;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[957, 938, 887, 910];[-83100, -85735, -83145, -82743];[-80330, -82588, -80448, -80191];[];[];[549, 431, 550, 672];[24, 24, 24, 28]
1623422767283280448;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[957, 938, 884, 912];[-83138, -85657, -83012, -82785];[-80729, -82739, -80316, -80452];[];[];[468, 343, 575, 552];[20, 20, 24, 24]
1623422767333679149;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[956, 938, 886, 910];[-83205, -86298, -82802, -82741];[-80448, -82998, -80637, -80233];[];[];[527, 383, 576, 574];[24, 24, 24, 24]
1623422767384628512;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[957, 939, 887, 911];[-83415, -86132, -82778, -82961];[-80691, -82788, -80437, -80566];[];[];[550, 407, 486, 527];[24, 24, 20, 24]
1623422767433283409;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[956, 937, 886, 909];[-83111, -85822, -83160, -82986];[-80499, -82745, -80592, -80588];[];[];[549, 469, 550, 640];[24, 28, 24, 28]
1623422767483613737;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[960, 937, 887, 911];[-83047, -86622, -83213, -83514];[-80532, -83246, -80607, -80448];[];[];[548, 380, 547, 552];[24, 24, 24, 24]
1623422767534866163;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[958, 939, 889, 910];[-83055, -86311, -82815, -82929];[-80664, -82940, -80521, -80525];[];[];[577, 383, 551, 638];[24, 24, 24, 28]
1623422767582682169;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[957, 938, 887, 909];[-83444, -85828, -83422, -82978];[-80671, -82570, -80588, -80309];[];[];[447, 346, 610, 579];[20, 20, 28, 24]
1623422767633640248;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[958, 938, 886, 910];[-83469, -86194, -83064, -82778];[-80799, -82600, -80401, -80412];[];[];[463, 408, 464, 554];[20, 24, 20, 24]
1623422767684677252;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[957, 937, 887, 909];[-83402, -86151, -82559, -82972];[-80698, -82690, -80376, -80518];[];[];[441, 385, 574, 487];[20, 24, 24, 20]
