Id;X  [m];Y  [m];Z  [m];U(95)  [m];U(95) X  [m];U(95) Y  [m];U(95) Z  [m];Target;Temperature  [C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;-1,536590;-17,789321;0,701841;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:04.476;;
2;-1,532522;-17,792072;0,699880;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:05.006;;
3;-1,532318;-17,791779;0,699376;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:05.153;;
4;-1,525549;-17,782388;0,698338;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:05.563;;
5;-1,555364;-16,685821;0,698287;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:17.283;;
6;-1,551390;-16,674203;0,700386;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:17.430;;
7;-1,521560;-15,882317;0,738948;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:23.597;;
8;-1,516089;-15,873172;0,741560;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:23.744;;
9;-1,585658;-15,542604;0,738529;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:26.409;;
10;-1,586434;-15,542163;0,738514;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:26.556;;
11;-1,644223;-14,352210;0,720915;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:33.654;;
12;-1,644924;-14,355362;0,721879;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:33.918;;
13;-1,645785;-14,353950;0,723201;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:34.065;;
14;-1,652696;-14,143240;0,715441;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:35.512;;
15;-1,641920;-13,998552;0,720750;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:36.377;;
16;-1,623151;-13,928083;0,716797;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:37.554;;
17;-1,615505;-13,900904;0,720389;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:37.929;;
18;-1,608455;-13,862148;0,719429;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:38.193;;
19;-1,680754;-12,804295;0,705702;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:47.465;;
20;-1,680593;-12,802903;0,705073;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:47.612;;
21;-1,680592;-12,801153;0,704047;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:47.759;;
22;-1,680079;-12,798797;0,703403;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:47.906;;
23;-1,679567;-12,795992;0,703013;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:48.053;;
24;-1,681800;-12,795366;0,705076;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:49:48.200;;
25;-1,727562;-9,964293;0,684403;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:07.624;;
26;-1,727021;-9,963828;0,684182;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:07.772;;
27;-1,726533;-9,965950;0,683642;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:07.919;;
28;-1,712131;-9,955802;0,683263;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:08.298;;
29;-1,707105;-9,937385;0,684597;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:08.445;;
30;-1,682990;-9,877644;0,685667;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:08.826;;
31;-1,825362;-8,138556;0,678658;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:22.148;;
32;-1,836486;-8,148959;0,676821;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:22.651;;
33;-1,825561;-8,094776;0,678746;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:23.298;;
34;-1,796890;-7,564724;0,686235;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:26.098;;
35;-1,851039;-7,148991;0,677059;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:28.854;;
36;-1,822454;-7,056142;0,681215;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:29.657;;
37;-2,018323;-5,082612;0,683150;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:42.093;;
38;-2,017997;-5,079416;0,683282;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:42.240;;
39;-2,016015;-5,078372;0,685763;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:42.386;;
40;-2,010196;-5,064776;0,689401;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:42.653;;
41;-2,157059;-4,447540;0,680508;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:46.216;;
42;-2,141548;-4,413967;0,681526;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,5;986;58;'14.06.2021 16:50:46.363;;
