timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623423022575164912;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1537, 1492, 404];[-85896, -84909, -90097, -81223];[-80044, -82476, -84710, -78805];[];[];[410, 365, 358, 905];[24, 20, 24, 36]
1623423022624118106;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1535, 1490, 403];[-86637, -85130, -89845, -81239];[-80416, -82453, -84779, -78873];[];[];[446, 429, 363, 1231];[28, 24, 24, 48]
1623423022674126874;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1535, 1491, 401];[-85642, -85083, -89473, -81070];[-80080, -82476, -84577, -78773];[];[];[566, 435, 359, 1136];[32, 24, 24, 44]
1623423022725143905;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1533, 1491, 404];[-85579, -85229, -89819, -80877];[-80195, -82726, -84596, -78668];[];[];[570, 430, 360, 1228];[32, 24, 24, 48]
1623423022774151757;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1532, 1495, 403];[-85432, -86205, -89725, -81104];[-79946, -82914, -84643, -78820];[];[];[502, 384, 361, 1180];[28, 24, 24, 48]
1623423022824091086;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1536, 1494, 404];[-86400, -85812, -89141, -81266];[-80260, -82863, -84540, -78830];[];[];[473, 345, 357, 1225];[28, 20, 24, 48]
1623423022875173173;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1534, 1493, 404];[-85479, -85749, -90374, -81120];[-80024, -82763, -84858, -78832];[];[];[503, 343, 361, 1083];[28, 20, 24, 44]
1623423022927041327;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1533, 1494, 403];[-86160, -85751, -90522, -81109];[-79985, -82666, -84790, -78860];[];[];[433, 383, 360, 990];[24, 24, 24, 40]
1623423022974269141;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[513, 1535, 1492, 403];[-85995, -85198, -90231, -81455];[-79962, -82546, -84849, -78988];[];[];[476, 366, 411, 1084];[28, 20, 28, 44]
1623423023025171773;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1535, 1494, 403];[-85996, -85314, -90649, -81462];[-80185, -82459, -84939, -78998];[];[];[413, 407, 415, 991];[24, 24, 28, 40]
1623423023074377114;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1538, 1493, 403];[-85624, -85417, -91090, -81181];[-80185, -82570, -85019, -78793];[];[];[564, 430, 421, 1035];[32, 24, 28, 40]
