timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623423354165915179;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1615, 252, 891, 1723];[-99511, -82944, -80961, -93516];[-89869, -78768, -79321, -84209];[];[];[416, 766, 527, 360];[28, 32, 20, 24]
1623423354166077482;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1584, 252, 891, 1725];[-98860, -83640, -81120, -94355];[-90286, -79074, -79116, -84040];[];[];[419, 703, 722, 304];[28, 32, 28, 20]
1623423354166106066;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1647, 250, 890, 1722];[-99636, -83368, -81241, -94339];[-89984, -79255, -79400, -84313];[];[];[362, 734, 721, 416];[24, 32, 28, 28]
1623423354204558293;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1645, 249, 894, 1727];[-100298, -82652, -81383, -93574];[-92471, -78623, -79557, -84161];[];[];[362, 823, 755, 418];[24, 36, 32, 28]
1623423354255406308;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1616, 251, 898, 1725];[-106136, -83305, -81122, -94117];[-89946, -79063, -79414, -84263];[];[];[362, 868, 790, 409];[24, 40, 32, 28]
1623423354304637954;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1585, 250, 894, 1722];[-107584, -82961, -80571, -95251];[-90207, -78778, -79066, -84537];[];[];[363, 857, 725, 417];[24, 36, 28, 28]
1623423354354492133;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1580, 248, 892, 1727];[-100553, -83017, -80725, -93105];[-91723, -78964, -79140, -83909];[];[];[416, 766, 722, 309];[28, 32, 28, 20]
1623423354405850055;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1647, 252, 891, 1725];[-107880, -83069, -80838, -93777];[-90414, -78982, -79084, -84031];[];[];[309, 819, 726, 309];[20, 36, 28, 20]
1623423354456582017;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1587, 249, 891, 1721];[-99452, -82796, -81870, -93769];[-90173, -78753, -79586, -83966];[];[];[421, 803, 762, 310];[28, 32, 32, 20]
1623423354504511052;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1551, 250, 891, 1727];[-107160, -83499, -81211, -92823];[-90521, -79092, -79282, -84174];[];[];[363, 738, 727, 360];[24, 32, 28, 24]
1623423354555452980;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1614, 249, 889, 1724];[-107817, -83392, -81181, -94224];[-91670, -78954, -79341, -85019];[];[];[363, 817, 694, 363];[24, 36, 28, 24]
1623423354604575374;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1584, 248, 897, 1727];[-100377, -82649, -80793, -94166];[-90985, -78775, -79268, -84384];[];[];[364, 952, 723, 360];[24, 40, 28, 24]
1623423354654468287;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1591, 249, 897, 1726];[-100975, -82867, -81070, -91428];[-91947, -78855, -79440, -83495];[];[];[417, 677, 628, 363];[28, 28, 24, 24]
1623423354705419459;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1553, 248, 893, 1726];[-99521, -83499, -80840, -93598];[-90107, -79106, -79208, -84493];[];[];[415, 665, 578, 412];[28, 32, 24, 28]
1623423354754519352;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1622, 249, 890, 1727];[-107024, -82615, -81456, -93978];[-89790, -78800, -79607, -84269];[];[];[360, 858, 579, 416];[24, 36, 24, 28]
1623423354804518070;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1616, 250, 891, 1726];[-107483, -82773, -81968, -92482];[-92047, -78840, -79787, -84341];[];[];[367, 802, 672, 307];[24, 32, 28, 20]
1623423354855495054;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1614, 248, 891, 1726];[-107315, -82601, -81749, -93107];[-89852, -78680, -79625, -84070];[];[];[363, 767, 756, 358];[24, 32, 32, 24]
1623423354903524130;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1544, 247, 890, 1727];[-99729, -82770, -80893, -92799];[-92019, -78639, -79119, -84111];[];[];[412, 856, 728, 361];[28, 36, 28, 24]
