timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623423167869651551;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 453, 356, 1778];[-87215, -81314, -81727, -90950];[-83941, -79170, -79151, -86935];[];[];[362, 1085, 998, 419];[24, 44, 40, 28]
1623423167919943341;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1802, 453, 358, 1777];[-87428, -80864, -81170, -91389];[-84153, -79170, -78837, -87404];[];[];[361, 954, 1079, 357];[24, 40, 44, 24]
1623423167971020754;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 452, 359, 1785];[-87885, -81118, -82172, -92462];[-84136, -78860, -79138, -87214];[];[];[357, 1126, 987, 362];[24, 44, 40, 24]
1623423168019592793;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1801, 451, 357, 1768];[-87276, -80436, -81999, -92745];[-83965, -78753, -79200, -86826];[];[];[363, 1035, 955, 415];[24, 40, 40, 28]
1623423168069983550;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1802, 452, 358, 1777];[-87402, -80825, -81219, -91622];[-83997, -79021, -78905, -86904];[];[];[305, 1133, 1083, 417];[20, 44, 44, 28]
1623423168121022028;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1799, 451, 359, 1782];[-87117, -80415, -82085, -91200];[-83800, -78692, -79045, -87231];[];[];[414, 1134, 1038, 417];[28, 44, 44, 28]
1623423168172051997;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 451, 356, 1772];[-87545, -80560, -81107, -90579];[-83870, -78926, -78820, -86470];[];[];[364, 1030, 929, 418];[24, 40, 36, 28]
1623423168220025208;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1801, 452, 358, 1779];[-87447, -81296, -82221, -91517];[-83862, -79082, -79061, -86984];[];[];[363, 1095, 1080, 418];[24, 44, 44, 28]
1623423168271071777;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1800, 452, 357, 1774];[-87399, -80588, -82279, -92763];[-83909, -78985, -79481, -87185];[];[];[363, 1131, 947, 361];[24, 44, 40, 24]
1623423168319618364;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1801, 451, 360, 1768];[-87186, -80774, -81301, -94015];[-83941, -79034, -78870, -87635];[];[];[309, 1131, 1123, 362];[20, 44, 44, 24]
1623423168369994969;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1801, 450, 356, 1773];[-87353, -80795, -82486, -91993];[-83957, -78880, -79389, -87271];[];[];[359, 1180, 951, 363];[24, 48, 40, 24]
1623423168420985549;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 452, 354, 1771];[-87360, -81125, -82134, -92283];[-83997, -79288, -79560, -86609];[];[];[365, 770, 947, 417];[24, 32, 40, 28]
1623423168469534313;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 452, 362, 1773];[-87196, -81193, -81206, -91465];[-84120, -79029, -78768, -87359];[];[];[416, 1083, 1032, 363];[28, 44, 40, 24]
1623423168519975564;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 452, 357, 1775];[-87364, -80493, -82143, -92107];[-83901, -78954, -79116, -87299];[];[];[363, 1036, 994, 364];[24, 40, 40, 24]
1623423168571000340;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1801, 454, 357, 1769];[-87492, -81119, -81196, -92146];[-84161, -78873, -78827, -87017];[];[];[364, 1032, 1180, 362];[24, 40, 48, 24]
1623423168619643990;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1803, 451, 360, 1771];[-87534, -80781, -81606, -90665];[-84195, -78990, -78926, -86855];[];[];[359, 1185, 985, 363];[24, 48, 40, 24]
1623423168670017560;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1802, 453, 359, 1772];[-87515, -81179, -81792, -91708];[-83997, -79321, -79279, -87167];[];[];[363, 993, 952, 471];[24, 40, 40, 32]
1623423168721037902;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1802, 452, 360, 1780];[-87792, -81082, -81653, -92622];[-84029, -79045, -78995, -87150];[];[];[358, 1141, 1177, 362];[24, 48, 48, 24]
1623423168769594823;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1800, 451, 359, 1768];[-88207, -80488, -82469, -92838];[-84349, -78875, -79366, -86447];[];[];[309, 1129, 1035, 363];[20, 44, 44, 24]
1623423168820071885;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[1798, 451, 358, 1774];[-88253, -80721, -81237, -90923];[-84095, -79008, -78895, -87100];[];[];[306, 933, 1081, 417];[20, 36, 44, 28]
